Posición,Título,Año,Duración,Rating
1, Cadena perpetua,,,"9,3
 (3,1 M)"
2, El padrino,,,"9,2
 (2,2 M)"
3, El caballero oscuro,,,"9,1
 (3,1 M)"
4, El padrino parte II,,,"9,0
 (1,5 M)"
5, 12 hombres sin piedad,,,"9,0
 (954 mil)"
6, El señor de los anillos: El retorno del rey,,,"9,0
 (2,1 M)"
7, La lista de Schindler,,,"9,0
 (1,6 M)"
8, El señor de los anillos: La comunidad del anillo,,,"8,9
 (2,2 M)"
9, Pulp Fiction,,,"8,8
 (2,4 M)"
10," El bueno, el feo y el malo",,,"8,8
 (872 mil)"
11, El señor de los anillos: Las dos torres,,,"8,8
 (1,9 M)"
12, Forrest Gump,,,"8,8
 (2,4 M)"
13, El club de la lucha,,,"8,8
 (2,5 M)"
14, Origen,,,"8,8
 (2,7 M)"
15, El imperio contraataca,,,"8,7
 (1,5 M)"
16, Matrix,,,"8,7
 (2,2 M)"
17, Uno de los nuestros,,,"8,7
 (1,4 M)"
18, Interstellar,,,"8,7
 (2,4 M)"
19, Alguien voló sobre el nido del cuco,,,"8,6
 (1,1 M)"
20, Seven,,,"8,6
 (2 M)"
21, Qué bello es vivir,,,"8,6
 (537 mil)"
22, El silencio de los corderos,,,"8,6
 (1,7 M)"
23, Los siete samuráis,,,"8,6
 (392 mil)"
24, Salvar al soldado Ryan,,,"8,6
 (1,6 M)"
25, La milla verde,,,"8,6
 (1,5 M)"
26, Ciudad de Dios,,,"8,6
 (853 mil)"
27, La vida es bella,,,"8,6
 (794 mil)"
28, Terminator 2: El juicio final,,,"8,6
 (1,3 M)"
29, La guerra de las galaxias,,,"8,6
 (1,5 M)"
30, Regreso al futuro,,,"8,5
 (1,4 M)"
31, El viaje de Chihiro,,,"8,6
 (937 mil)"
32, El pianista,,,"8,5
 (989 mil)"
33, Gladiator (El gladiador),,,"8,5
 (1,8 M)"
34, Parásitos,,,"8,5
 (1,1 M)"
35, Psicosis,,,"8,5
 (769 mil)"
36, El rey león,,,"8,5
 (1,2 M)"
37, La tumba de las luciérnagas,,,"8,5
 (366 mil)"
38, Infiltrados,,,"8,5
 (1,5 M)"
39, Whiplash,,,"8,5
 (1,1 M)"
40, Harakiri,,,"8,6
 (84 mil)"
41, El truco final (El prestigio),,,"8,5
 (1,5 M)"
42, American History X,,,"8,5
 (1,3 M)"
43, El profesional (Léon),,,"8,5
 (1,3 M)"
44, Spider-Man: Cruzando el multiverso,,,"8,5
 (488 mil)"
45, Casablanca,,,"8,5
 (643 mil)"
46, Cinema Paradiso,,,"8,5
 (308 mil)"
47, Intocable,,,"8,5
 (1 M)"
48, Sospechosos habituales,,,"8,5
 (1,2 M)"
49," Alien, el octavo pasajero",,,"8,5
 (1 M)"
50, Tiempos modernos,,,"8,5
 (278 mil)"
51, La ventana indiscreta,,,"8,5
 (557 mil)"
52, Django desencadenado,,,"8,5
 (1,8 M)"
53, Hasta que llegó su hora,,,"8,5
 (376 mil)"
54, Luces de la ciudad,,,"8,5
 (211 mil)"
55, Apocalypse Now,,,"8,4
 (755 mil)"
56, WALL·E,,,"8,4
 (1,3 M)"
57, Memento,,,"8,4
 (1,4 M)"
58, Dune: Parte dos,,,"8,4
 (677 mil)"
59, En busca del arca perdida,,,"8,4
 (1,1 M)"
60, Vengadores: Infinity War,,,"8,4
 (1,3 M)"
61, La vida de los otros,,,"8,4
 (434 mil)"
62, Spider-Man: Un nuevo universo,,,"8,4
 (758 mil)"
63, El crepúsculo de los dioses,,,"8,4
 (254 mil)"
64, Testigo de cargo,,,"8,4
 (155 mil)"
65, Senderos de gloria,,,"8,4
 (232 mil)"
66, El resplandor,,,"8,4
 (1,2 M)"
67, El gran dictador,,,"8,4
 (253 mil)"
68, Malditos bastardos,,,"8,4
 (1,7 M)"
69, Aliens: El regreso,,,"8,4
 (825 mil)"
70, 12th Fail,,,"8,7
 (159 mil)"
71, El caballero oscuro: La leyenda renace,,,"8,4
 (2 M)"
72, El infierno del odio,,,"8,4
 (65 mil)"
73, Coco,,,"8,4
 (676 mil)"
74, Vengadores: Endgame,,,"8,4
 (1,4 M)"
75, Amadeus,,,"8,4
 (457 mil)"
76, El indomable Will Hunting,,,"8,3
 (1,2 M)"
77, Toy Story,,,"8,3
 (1,1 M)"
78, Old Boy,,,"8,3
 (698 mil)"
79, El submarino (Das Boot),,,"8,4
 (283 mil)"
80, ¿Teléfono rojo? Volamos hacia Moscú,,,"8,3
 (545 mil)"
81, Your Name.,,,"8,4
 (374 mil)"
82, Braveheart,,,"8,3
 (1,1 M)"
83, La princesa Mononoke,,,"8,3
 (472 mil)"
84, American Beauty,,,"8,3
 (1,3 M)"
85, 3 Idiots,,,"8,4
 (471 mil)"
86, Cafarnaúm,,,"8,4
 (120 mil)"
87, Joker,,,"8,3
 (1,7 M)"
88, Érase una vez en América,,,"8,3
 (402 mil)"
89, Cantando bajo la lluvia,,,"8,3
 (277 mil)"
90, Masacre (Ven y mira),,,"8,3
 (117 mil)"
91, Réquiem por un sueño,,,"8,3
 (956 mil)"
92, El retorno del jedi,,,"8,3
 (1,2 M)"
93, Toy Story 3,,,"8,3
 (950 mil)"
94, La caza de Thomas Vinterberg,,,"8,3
 (398 mil)"
95, Vivir,,,"8,3
 (100 mil)"
96, ¡Olvídate de mí!,,,"8,3
 (1,2 M)"
97, Incendios,,,"8,3
 (239 mil)"
98, El apartamento,,,"8,3
 (214 mil)"
99, Lawrence de Arabia,,,"8,3
 (335 mil)"
100, 2001: Una odisea del espacio,,,"8,3
 (768 mil)"
101, Reservoir Dogs,,,"8,3
 (1,2 M)"
102, El precio del poder,,,"8,3
 (991 mil)"
103, Heat,,,"8,3
 (779 mil)"
104, Perdición,,,"8,3
 (178 mil)"
105, Up,,,"8,3
 (1,2 M)"
106, Con la muerte en los talones,,,"8,3
 (365 mil)"
107," M, el vampiro de Düsseldorf",,,"8,3
 (180 mil)"
108, La chaqueta metálica,,,"8,2
 (836 mil)"
109, Ciudadano Kane,,,"8,2
 (488 mil)"
110, Vértigo (De entre los muertos),,,"8,2
 (452 mil)"
111, Amélie,,,"8,3
 (829 mil)"
112, Taare Zameen Par,,,"8,3
 (226 mil)"
113," Nader y Simin, una separación",,,"8,3
 (274 mil)"
114, Jungla de cristal,,,"8,2
 (1 M)"
115, Matar a un ruiseñor,,,"8,3
 (347 mil)"
116, Indiana Jones y la última cruzada,,,"8,2
 (851 mil)"
117, El golpe,,,"8,2
 (295 mil)"
118, La naranja mecánica,,,"8,2
 (924 mil)"
119, Metrópolis,,,"8,3
 (198 mil)"
120, Snatch. Cerdos y diamantes,,,"8,2
 (961 mil)"
121, 1917,,,"8,2
 (749 mil)"
122, Oppenheimer,,,"8,3
 (954 mil)"
123, L.A. Confidential,,,"8,2
 (650 mil)"
124, El hundimiento,,,"8,2
 (394 mil)"
125, Ladrón de bicicletas,,,"8,2
 (189 mil)"
126, Dangal,,,"8,3
 (234 mil)"
127, El lobo de Wall Street,,,"8,2
 (1,7 M)"
128, El show de Truman,,,"8,2
 (1,3 M)"
129, Green Book,,,"8,2
 (660 mil)"
130, Batman Begins,,,"8,2
 (1,7 M)"
131, Hamilton,,,"8,3
 (134 mil)"
132, Taxi Driver,,,"8,2
 (1 M)"
133, Shutter Island,,,"8,2
 (1,6 M)"
134, La muerte tenía un precio,,,"8,2
 (295 mil)"
135, Vencedores o vencidos,,,"8,3
 (94 mil)"
136, Con faldas y a lo loco,,,"8,2
 (300 mil)"
137, Jurassic Park (Parque Jurásico),,,"8,2
 (1,2 M)"
138, Pozos de ambición,,,"8,2
 (690 mil)"
139, El chico,,,"8,2
 (144 mil)"
140, El padre,,,"8,2
 (221 mil)"
141, Eva al desnudo,,,"8,2
 (147 mil)"
142, El sexto sentido,,,"8,2
 (1,1 M)"
143, Hababam Sinifi: Sinifta Kaldi,,,"8,6
 (29 mil)"
144, Ran,,,"8,2
 (148 mil)"
145, Casino,,,"8,2
 (606 mil)"
146, No es país para viejos,,,"8,2
 (1,2 M)"
147, La cosa (El enigma de otro mundo),,,"8,2
 (513 mil)"
148, Una batalla tras otra,,,"8,2
 (132 mil)"
149, Top Gun: Maverick,,,"8,2
 (811 mil)"
150, Sin perdón,,,"8,2
 (461 mil)"
151, El laberinto del fauno,,,"8,2
 (736 mil)"
152, Kill Bill: Volumen 1,,,"8,2
 (1,3 M)"
153, Prisioneros,,,"8,2
 (902 mil)"
154, Una mente maravillosa,,,"8,2
 (1 M)"
155, El tesoro de Sierra Madre,,,"8,2
 (139 mil)"
156, El castillo ambulante,,,"8,2
 (498 mil)"
